image_id,image,brightness_threshold,defect_percentage,number_of_defects,yellow_ratio,largest_defect_ratio,mean_defect_ratio,aspect_ratio,circularity,solidity,grade
NDM_M1 (206),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (206).jpg,17,0.0621104020441724,3,62.212203031287984,0.0003314700212720082,0.00020703467348057468,0.4752116082224909,0.6139253025780564,0.9560232157217402,NDM_M1
NDM_M1 (207),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (207).jpg,25,0.2286254154871361,10,0.8619889035267247,0.00037951360344153486,0.0002286254154871361,2.043914680050188,0.6083407841206129,0.9511123569902837,NDM_M1
NDM_M1 (208),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (208).jpg,25,0.23785724438656905,9,0.9699990371080227,0.0007107059832273388,0.0002642858270961878,0.48987108655616945,0.605648788637145,0.9512628110173793,NDM_M1
NDM_M1 (209),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (209).jpg,23,0.2726852428989445,7,1.9493362990389267,0.0009707908755473582,0.0003895503469984921,2.059322033898305,0.6278166210387303,0.9576519633768603,NDM_M1
NDM_M1 (21),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (21).jpg,19,0.14136940816571614,4,57.884136077009465,0.0008048154086334361,0.00035342352041429034,2.261658031088083,0.5838041479223897,0.9631487278868474,NDM_M1
NDM_M1 (210),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (210).jpg,23,0.25891174623115576,7,2.1194841394472363,0.0009176743090452261,0.00036987392318736537,0.48559670781893005,0.6230390761291988,0.9575139872470395,NDM_M1
NDM_M1 (211),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (211).jpg,22,0.1957893341532872,9,86.77063855354925,0.0006421281713906367,0.00021754370461476354,2.060122699386503,0.6163944197672094,0.9599812283808904,NDM_M1
NDM_M1 (212),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (212).jpg,22,0.18049424145177317,9,86.7863445572081,0.0005256270328679797,0.00020054915716863686,0.4854079809410363,0.613524641426783,0.9597143280882166,NDM_M1
NDM_M1 (213),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (213).jpg,24,0.3767796428652561,12,80.57231994790207,0.0010904217054498368,0.00031398303572104677,2.118471337579618,0.6019603603364733,0.9582676281951396,NDM_M1
NDM_M1 (214),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (214).jpg,25,0.37146009562339094,13,80.3577223460182,0.0007225839949808537,0.0002857385350949161,0.4723557692307692,0.6058263395016421,0.9582689086541583,NDM_M1
NDM_M1 (215),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (215).jpg,24,0.14308494414774392,8,91.1590289874949,0.00040325799709736124,0.0001788561801846799,1.9335624284077892,0.6213965868433106,0.9702054327699445,NDM_M1
NDM_M1 (216),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (216).jpg,24,0.16354317621726067,9,90.99489106673543,0.0005557193034165991,0.00018171464024140072,0.5180794309425015,0.6301797204203664,0.9706612479234289,NDM_M1
NDM_M1 (217),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (217).jpg,21,0.08949262486673708,4,74.28068050432198,0.00045046623255069,0.0002237315621668427,2.015606242496999,0.6057947968625852,0.9684214411891415,NDM_M1
